Department Abbreviation,Course Name,Course Number,Credits,Recommendations,Length,NCAA Approved,Elective,Grade,Fee,Description,Notes,Fine Arts Sub-Department,CTE Sub-Department
FA,Marching Band III,7303H,0.5,Audition,Semester,No,Yes,"11, 12","Up to, but not to exceed $200.00 per year for materials, supplies, and instrument maintenance. ","Marching Band III is designed to present marching band techniques with appropriate  music. Students in Marching Band III will demonstrate advanced levels of marching and performance  techniques and will be expected to assume limited leadership and instructional roles. Students will refine  musical and technical skills necessary to perform music with correct style and accuracy, apply individual  discipline in a performance setting, and advance group cooperation. Students will be required to memorize  music and marching formations as required in various settings.","This course is the  required Fall Semester simultaneous, zero hour (before school) companion course to Symphonic Band.  Attendance is REQUIRED to all outside of school time rehearsals and performances, in addition to class  time and school day events/activities. This course is a zero hour  course and is taught before the regular school day. Out of school rehearsals and performances are part  of the instructional program. Attendance is required.",Performing Arts,
FA,Marching Band IV,7303J,0.5,Audition,Semester,No,Yes,12,"Up to, but not to exceed $200.00 per year for materials, supplies, and instrument maintenance."," Marching Band IV is designed to present marching band techniques with appropriate  music. Students in Marching Band IV will demonstrate mastered levels of marching and performance  techniques and will be expected to assume extensive leadership and instructional roles. Students will  continue to refine musical and technical skills necessary to perform music with correct style and accuracy,  apply individual discipline in a performance setting, and facilitate group cooperation. Students will be  required to memorize music and marching formations as required in various settings.","This course is the required Fall Semester simultaneous, zero hour (before school) companion course to  Symphonic Band. Attendance is REQUIRED to all outside of school time rehearsals and performances, in  addition to class time and school day events/activities. This course is a zero hour course and is taught before the regular school day. Out of school rehearsals and  performances are part of the instructional program. Attendance is required",Performing Arts,
FA,Marching Auxiliary I,92211,0.5,Instructor Approval,Semester,No,Yes,"9, 10, 11, 12","Up to, but not to exceed $200.00 per year for materials, supplies, and instrument maintenance.","Marching Auxiliary is a performance course that is a direct extension of the band program and is only open to members of the Marching Band Auxiliary Unit (i.e., Flag, Rifle, and Saber). The student acquires sequential and systematic learning experiences in the area of equipment work (i.e., Flag, Rifle, and Saber) Ballet, Modern, and Jazz movement. He/she engages in activities that utilize a wide variety of materials and experiences and develops techniques designed appropriately within the Color Guard genre, including individual and group instruction in performance repertoire and skills. The student in this class participates in the Marching Band during first semester and in Winter Guard during second semester. Literacy is integrated throughout the course.","This course is a zero-hour course and is taught before the regular school day. Out of school rehearsals and performances are part of the instructional program. Attendance is required. Two years of participation may serve as a substitute for physical education.
",Performing Arts,
FA,Marching Auxiliary II,92212,0.5,Instructor Approval,Semester,No,Yes,"10,11,12","Up to, but not to exceed $200.00 per year for materials, supplies, and instrument maintenance.","Marching Auxiliary is a performance course that is a direct extension of the band program and is only open to members of the Marching Band Auxiliary Unit (i.e., Flag, Rifle, and Saber). The student acquires sequential and systematic learning experiences in the area of equipment work (i.e., Flag, Rifle, and Saber) Ballet, Modern, and Jazz movement. He/she engages in activities that utilize a wide variety of materials and experiences and develops techniques designed appropriately within the Color Guard genre, including individual and group instruction in performance repertoire and skills. The student in this class participates in the Marching Band during first semester and in Winter Guard during second semester. Literacy is integrated throughout the course.
",,Performing Arts,
FA,Marching Auxiliary III,92213,0.5,Instructor Approval,Semester,No,Yes,"11,12","Up to, but not to exceed $200.00 per year for materials, supplies, and instrument maintenance.","Marching Auxiliary is a performance course that is a direct extension of the band program and is only open to members of the Marching Band Auxiliary Unit (i.e., Flag, Rifle, and Saber). The student acquires sequential and systematic learning experiences in the area of equipment work (i.e., Flag, Rifle, and Saber) Ballet, Modern, and Jazz movement. He/she engages in activities that utilize a wide variety of materials and experiences and develops techniques designed appropriately within the Color Guard genre, including individual and group instruction in performance repertoire and skills. The student in this class participates in the Marching Band during first semester and in Winter Guard during second semester. Literacy is integrated throughout the course.
",,Performing Arts,
FA,Marching Auxiliary IV,92214,0.5,Instructor Approval,Semester,No,Yes,12,"Up to, but not to exceed $200.00 per year for materials, supplies, and instrument maintenance. ","Marching Auxiliary is a performance course that is a direct extension of the band program and is only open to members of the Marching Band Auxiliary Unit (i.e., Flag, Rifle, and Saber). The student acquires sequential and systematic learning experiences in the area of equipment work (i.e., Flag, Rifle, and Saber) Ballet, Modern, and Jazz movement. He/she engages in activities that utilize a wide variety of materials and experiences and develops techniques designed appropriately within the Color Guard genre, including individual and group instruction in performance repertoire and skills. The student in this class participates in the Marching Band during first semester and in Winter Guard during second semester. Literacy is integrated throughout the course.
",,Performing Arts,
FA,Symphonic Band I,7304E,1,Audition,Year,No,Yes,"9, 10, 11, 12"," Up to, but not to exceed $200.00 per year for materials, supplies, out of town travel, and instrument  maintenance. Additionally, pays for uniform costs and some out of school activities.","Symphonic Band I is an intermediate course for students with previous instrumental  experience on standard woodwind brass, or percussion instruments. Symphonic band teaches the  intermediate techniques of tone production, articulation, intonation, instrument care and maintenance,  general musicianship, and musical literacy. The student continues to perform within the traditions and  standards of a Wind Band using graded music II+ through III-. The student provides instruments and  accessories although some school instruments may be available for student use. He/She practices regularly  at home. The student participates in regularly scheduled performances during and outside of the school day  in appropriate performance attire. Literacy is integrated throughout the course.","This  course is the required Spring Semester simultaneous, zero hour (before school) companion course to  Concert Band. Attendance is REQUIRED to all outside of school time rehearsals and performances, in  addition to class time and school day events/activities. The student  participates in regularly scheduled performances during and outside of the school day, a Zero hour  class, band camp during the summer months, and in fundraising activities. 
",Performing Arts,
FA,Symphonic Band II,7304F,1,Audition,Year,No,Yes,"10, 11, 12"," Up to, but not to exceed $200.00 per year for materials, supplies, out of town travel, and instrument  maintenance. Additionally, pays for uniform costs and some out of school activities.","Symphonic Band II is an intermediate course where the student continues to receive  experience on standard woodwind brass, or percussion instruments while progressing towards more  advanced music literature. Symphonic band teaches the intermediate techniques of tone production,  articulation, intonation, instrument care and maintenance, general musicianship, and musical literacy. The  student continues to perform within the traditions and standards of a Wind Band using graded music III through III. The student provides instruments and accessories although some school instruments may be  available for student use. He/She practices regularly at home. The student participates in regularly  scheduled performances during and outside of the school day in appropriate performance attire. Literacy is integrated throughout the course.","This course is the required Spring Semester  simultaneous, zero hour (before school) companion course to Concert Band. Attendance is REQUIRED to  all outside of school time rehearsals and performances, in addition to class time and school day  events/activities. The student participates in regularly scheduled  performances during and outside of the school day, a Zero hour class, band camp during the summer  months, and in fundraising activities. 
",Performing Arts,
FA,Symphonic Band III,7304G,1,Audition,Year,No,Yes,"11, 12"," Up to, but not to exceed $200.00 per year for materials, supplies, out of town travel, and instrument  maintenance. Additionally, pays for uniform costs and some out of school activities."," In Symphonic Band III the student continues to receive experience on standard  woodwind brass, or percussion instruments. Symphonic Band II teaches the techniques of tone production, articulation, intonation, instrument care and maintenance, general musicianship, and musical literacy. The  student performs with the traditions and standards of a Wind Band using graded music III through III+. The  student provides instruments and accessories although some school instruments may be available for student  use. He/She practices regularly at home. The student participates in regularly scheduled performances  during and outside of the school day in appropriate performance attire. Literacy is integrated throughout the  course.","This course is the required Spring Semester simultaneous, zero hour (before  school) companion course to Concert Band. Attendance is REQUIRED to all outside of school time  rehearsals and performances, in addition to class time and school day events/activities. The student participates in regularly scheduled performances during and  outside of the school day, a Zero hour class, band camp during the summer months, and in fundraising  activities. ",Performing Arts,
FA,Symphonic Band IV,7304H,1,Audition,Year,No,Yes,12,"Up to, but not to exceed $200.00 per year for materials, supplies, out of town travel, and instrument  maintenance. Additionally, pays for uniform costs and some out of school activities.","The student enrolled in Symphonic Band IV continues to develop musicianship and  specific performance skills through advanced ensemble and experience on standard woodwind brass, or  percussion instruments. Symphonic Band IV continues to teach the advanced techniques of tone production,  articulation, intonation, instrument care and maintenance, general musicianship, and musical literacy. The  student performs with the traditions and standards of a Wind Band using graded music III+ through IV-. The  student provides instruments and accessories although some school instruments may be available for student  use. He/She practices regularly at home. The student participates in regularly scheduled performances  during and outside of the school day in appropriate performance attire. Literacy is integrated throughout the  course.","This course is the required Spring Semester simultaneous, zero hour (before  school) companion course to Concert Band. Attendance is REQUIRED to all outside of school time  rehearsals and performances, in addition to class time and school day events/activities. The student participates in regularly scheduled performances during and  outside of the school day, a Zero hour class, band camp during the summer months, and in fundraising  activities. 
",Performing Arts,
FA,Jazz Band,7304K,1,Audition,Year,No,Yes,"9,10,11,12","Up to, but not to exceed $100.00 per year","Jazz Band I is a performance course for the student to receive experience and knowledge in Jazz Band stylings (e.g., swing, blues, rock) and experience on standard woodwind brass and rhythm section instruments. Jazz Band teaches the application of the basic techniques of tone production, articulation, intonation, instrument care and maintenance, general musicianship, and musical literacy in the Jazz style. The student is introduced to and performs within the traditions and standards of a Jazz Band using graded music I- through II+. The student provides instruments and accessories although some school instruments may be available for student use.  The student practices regularly at home.  He/She participates in regularly scheduled p","Concurrent enrollment in Symphonic Band or Concert Band is necessary for Wind and Percussion players. Concurrent enrollment in piano is necessary for piano players. Concurrent enrollment in orchestra is necessary for bass players. Exceptions will be made at the discretion of the instructor.The student participates in regularly scheduled performances during and outside of the school day and in fund raising activities.
",Performing Arts,
FA,Jazz Band II,7304L,1,Audition,Year,No,Yes,"10,11,12","Up to, but not to exceed $100.00 per year","Jazz Band II is a performance course for the student to receive experience and knowledge in Jazz Band stylings (e.g., swing, bossa, blues, rock) and experience on standard woodwind brass and rhythm section instruments. Intermediate Jazz Band","Concurrent enrollment in Symphonic Band or Concert Band is necessary for Wind and Percussion players. Concurrent enrollment in piano is necessary for piano players. Concurrent enrollment in orchestra is necessary for bass players. Exceptions will be made at the discretion of the instructor.The student participates in regularly scheduled performances during and outside of the school day and in fund raising activities.
",Performing Arts,
FA,Jazz Band III,7304M,1,Audition,Year,No,Yes,"11,12","Up to, but not to exceed $100.00 per year","Jazz Band III is a performance course for the student to receive experience and knowledge in Jazz Band styling (e.g., swing, bossa, blues, rock, samba) and experience on standard woodwind brass and rhythm section instruments. Intermediate Jazz Band III teaches the application of the basic techniques of tone production, articulation, intonation, instrument care and maintenance, general musicianship, and musical literacy in the Jazz style. The student is introduced to and performs within the traditions and standards of a Jazz Band using graded music II through III. The student provides instruments and accessories although some school instruments may be available for student use. The student practices regularly at home. He/She participates in regularly scheduled performances during and outside of the school day in appropriate performance attire. Literacy is integrated throughout the course.","Concurrent enrollment in Symphonic Band or Concert Band is necessary for Wind and Percussion players. Concurrent enrollment in piano is necessary for piano players. Concurrent enrollment in orchestra is necessary for bass players. Exceptions will be made at the discretion of the instructor.The student participates in regularly scheduled performances during and outside of the school day and in fund raising activities.
",Performing Arts,
FA,Jazz Band IV,7304N,1,Audition,Year,No,Yes,12,"Up to, but not to exceed $100.00 per year","Jazz Band IV is a performance course for the student to receive experience and knowledge in Jazz Band styling (e.g., swing, samba, bossa, funk) and experience on standard woodwind brass and rhythm section instruments. Intermediate Jazz Band IV teaches the application of the basic techniques of tone production, articulation, intonation, instrument care and maintenance, general musicianship, and musical literacy in the Jazz style. The student is introduced to and performs within the traditions and standards of a Jazz Band using graded music III through IV. The student provides instruments and accessories although some school instruments may be available for student use. The student practices regularly at home. He/She participates in regularly scheduled performances during and outside of the school day in appropriate performance attire. Literacy is integrated throughout the course.","Concurrent enrollment in Symphonic Band or Concert Band is necessary for Wind and Percussion players. Concurrent enrollment in piano is necessary for piano players. Concurrent enrollment in orchestra is necessary for bass players. Exceptions will be made at the discretion of the instructor.The student participates in regularly scheduled performances during and outside of the school day and in fund raising activities.
",Performing Arts,
FA,Orchestra I Sinfonietta,73544,1,N/A,Year,No,Yes,"9, 10, 11, 12","Up to, but not to exceed $100.00 per year for materials, supplies, out of town travel, and instrument maintenance. Additionally, pays for uniform costs and some out of school activities.","The Orchestra program at Albuquerque High School has multiple levels of performance orchestras with placement in ensembles by audition and teacher placement. Sinfonietta is an advanced orchestra performing a variety of styles and musical periods. Emphasis is placed on studying professional level orchestra and chamber music. The student performs, with expression and technical accuracy, a varied repertoire of developmentally appropriate orchestral literature. The student practices regularly at home. He or she participates in regularly scheduled performances during and outside of the school day in appropriate  performance attire. Literacy is integrated throughout the course. 

","The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day. 
",Performing Arts,
FA,Orchestra II Sinfonietta,7354G,1,Successful Completion of Orchestra I,Year,No,Yes,"10, 11, 12","Up to, but not to exceed $100.00 per year for materials, supplies, out of town travel, and instrument maintenance. Additionally, pays for uniform costs and some out of school activities.","The Orchestra program at Albuquerque High School has multiple levels of performance orchestras with placement in ensembles by audition and teacher placement. Sinfonietta is an advanced orchestra performing a variety of styles and musical periods. Emphasis is placed on studying professional level orchestra and chamber music. The student performs, with expression and technical accuracy, a varied repertoire of developmentally appropriate orchestral literature. The student practices regularly at home. He or she participates in regularly scheduled performances during and outside of the school day in appropriate  performance attire. Literacy is integrated throughout the course. 

","The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day. 
",Performing Arts,
FA,Orchestra III Sinfonietta,7354H,1,Successful Completion of Orchestra II,Year,No,Yes,"11, 12","Up to, but not to exceed $100.00 per year for materials, supplies, out of town travel, and instrument maintenance. Additionally, pays for uniform costs and some out of school activities.","The Orchestra program at Albuquerque High School has multiple levels of performance orchestras with placement in ensembles by audition and teacher placement. Sinfonietta is an advanced orchestra performing a variety of styles and musical periods. Emphasis is placed on studying professional level orchestra and chamber music. The student performs, with expression and technical accuracy, a varied repertoire of developmentally appropriate orchestral literature. The student practices regularly at home. He or she participates in regularly scheduled performances during and outside of the school day in appropriate  performance attire. Literacy is integrated throughout the course. 

","The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day. 
",Performing Arts,
FA,Orchestra IV Sinfonietta,7354J,1,Successful Completion of Orchestra III,Year,No,Yes,12,"Up to, but not to exceed $100.00 per year for materials, supplies, out of town travel, and instrument maintenance. Additionally, pays for uniform costs and some out of school activities.","The Orchestra program at Albuquerque High School has multiple levels of performance orchestras with placement in ensembles by audition and teacher placement. Sinfonietta is an advanced orchestra performing a variety of styles and musical periods. Emphasis is placed on studying professional level orchestra and chamber music. The student performs, with expression and technical accuracy, a varied repertoire of developmentally appropriate orchestral literature. The student practices regularly at home. He or she participates in regularly scheduled performances during and outside of the school day in appropriate  performance attire. Literacy is integrated throughout the course. 

","The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day. 
",Performing Arts,
FA,Chamber Orchestra I,73545,1,Successful Completion of Orchestra III,Year,No,Yes,"9, 10, 11, 12","Up to, but not to exceed $100 per year","The Orchestra program at Albuquerque High School has multiple levels of performance orchestras with placement in ensembles by audition and teacher placement. Chamber Orchestra is a continuing orchestra performing a variety of styles and musical periods. Emphasis is placed on studying advanced level orchestra and chamber music. The student performs, with expression and technical accuracy, a varied repertoire of developmentally appropriate orchestral literature. The student practices regularly at home. He or she participates in regularly scheduled performances during and outside of the school day in appropriate performance attire. Literacy is integrated throughout the course.",The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day.,Performing Arts,
FA,Chamber Orchestra II,73545A,1,Successful Completion of Orchestra III,Year,No,Yes,"10, 11, 12","Up to, but not to exceed $100 per year","The Orchestra program at Albuquerque High School has multiple levels of performance orchestras with placement in ensembles by audition and teacher placement. Chamber Orchestra is a continuing orchestra performing a variety of styles and musical periods. Emphasis is placed on studying advanced level orchestra and chamber music. The student performs, with expression and technical accuracy, a varied repertoire of developmentally appropriate orchestral literature. The student practices regularly at home. He or she participates in regularly scheduled performances during and outside of the school day in appropriate performance attire. Literacy is integrated throughout the course.",The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day.,Performing Arts,
FA,Chamber Orchestra III,73545B,1,Successful Completion of Orchestra III,Year,No,Yes,"11, 12,","Up to, but not to exceed $100 per year","The Orchestra program at Albuquerque High School has multiple levels of performance orchestras with placement in ensembles by audition and teacher placement. Chamber Orchestra is a continuing orchestra performing a variety of styles and musical periods. Emphasis is placed on studying advanced level orchestra and chamber music. The student performs, with expression and technical accuracy, a varied repertoire of developmentally appropriate orchestral literature. The student practices regularly at home. He or she participates in regularly scheduled performances during and outside of the school day in appropriate performance attire. Literacy is integrated throughout the course.",The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day.,Performing Arts,
FA,Chamber Orchestra IV,73545C,1,Successful Completion of Orchestra III,Year,No,Yes,12,"Up to, but not to exceed $100 per year","The Orchestra program at Albuquerque High School has multiple levels of performance orchestras with placement in ensembles by audition and teacher placement. Chamber Orchestra is a continuing orchestra performing a variety of styles and musical periods. Emphasis is placed on studying advanced level orchestra and chamber music. The student performs, with expression and technical accuracy, a varied repertoire of developmentally appropriate orchestral literature. The student practices regularly at home. He or she participates in regularly scheduled performances during and outside of the school day in appropriate performance attire. Literacy is integrated throughout the course.",The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day.,Performing Arts,
FA,ConcertOrchestra I,7354k,1,"previous performance experience on the violin, viola, cello, or string bass",Year,No,Yes,"9, 10, 11, 12","Up to, but not to exceed $100 per year","The Orchestra program at Albuquerque High School has multiple levels of performance orchestras with placement in ensembles by audition and teacher placement. Chamber Orchestra is a continuing orchestra performing a variety of styles and musical periods. Emphasis is placed on studying advanced level orchestra and chamber music. The student performs, with expression and technical accuracy, a varied repertoire of developmentally appropriate orchestral literature. The student practices regularly at home. He or she participates in regularly scheduled performances during and outside of the school day in appropriate performance attire. Literacy is integrated throughout the course.",The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day.,Performing Arts,
FA,ConcertOrchestra II,7354l,1,"previous performance experience on the violin, viola, cello, or string bass",Year,No,Yes,"10, 11, 12","Up to, but not to exceed $100 per year",The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day.,The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day.,Performing Arts,
FA,ConcertOrchestra III,7354m1,,"previous performance experience on the violin, viola, cello, or string bass",,,,"11, 12,","Up to, but not to exceed $100 per year",The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day.,The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day.,Performing Arts,
FA,ConcertOrchestra IV,7354n1,,"previous performance experience on the violin, viola, cello, or string bass",,,,12,"Up to, but not to exceed $100 per year",The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day.,The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day.,Performing Arts,
FA,Guitar Beginning,75555,1,N/A,Year,No,Yes,"9, 10, 11, 12","Up to, but not to exceed $50.00 per year for materials, clinicians, maintenance of equipment, and possibly entry fees for district festivals.",The student is required to participate in regularly scheduled performances and rehearsals during and outside of the school day.,,Performing Arts,
FA,Guitar Intermediate,75556,1,Successful Completion of Beginning Guitar,Year,No,Yes,"10, 11, 12","Up to, but not to exceed $50.00 per year for materials, clinicians, maintenance of equipment, and possibly entry fees for district festivals."," In Intermediate Guitar the student expands upon the fundamentals of guitar playing and basic music theory. He/She learns technical skills through a variety of different styles of music and utilizes a variety of chord forms, scales and arpeggios, standard music notation, guitar tablature and both solo and ensemble guitar literature. The student has the opportunity to participate in school and community performances. Literacy is integrated throughout the course.","He/She may be required to provide his/her own instrument for the course. As a co- curricular class the student attends all rehearsals and performances which include afternoons, evenings, and weekends that support and extend learning in the classroom.
",Performing Arts,
FA,Advanced Guitar,75557,1,"Successful Completion of Intermediate Guitar and/or Audition
",Year,No,Yes,"11, 12","Up to, but not to exceed $50.00 per year for materials, clinicians, maintenance of equipment, and possibly entry fees for district festivals."," In Advanced Guitar the student develops higher level playing skills and an in-depth knowledge of music theory. The student expands his/her technical ability through a variety of different styles of music and utilizes complex chord forms, scales and arpeggios, standard music notation, guitar tablature and both solo and ensemble guitar literature. He/She participates in school and community performances.
Literacy is integrated throughout the course.
","The student has the opportunity to participate in a rock band ensemble group, learn electric guitar, bass guitar, drums and keyboards and play in school and community performances. He/She may be required to provide his/her own instrument for the course. As a co-curricular class the student attends all rehearsals and performances which include afternoons, evenings, and weekends that support and extend learning in the classroom. ",Performing Arts,
FA,Guitar Literature,75554,1,"Successful Completion of Intermediate Guitar and/or Audition
",Year,No,Yes,12,"Up to, but not to exceed $50.00 per year for materials, clinicians, maintenance of equipment, and possibly entry fees for district festivals.","In Guitar Literature the student develops mastery of areas covered in previous guitar courses, including playing technique, and elements of music theory. The student learns technical skills through a variety of different styles of music, complex chord forms, scales and arpeggios, compositional and/or improvisational techniques, standard music notation, guitar tablature and both solo and ensemble guitar literature. Literacy is integrated throughout the course","his course satisfies the graduation requirement that a student must earn one (1) career cluster, workplace readiness or language credit. Additionally, he/she may be required to provide his/her own instrument for the course. As a co- curricular class the student attends all rehearsals and performances which include afternoons, evenings and weekends that support and extend learning in the classroom.",Performing Arts,
FA,Piano I,75558,1,N/A,Year,No,Yes,"9, 10, 11, 12","Up to, but not to exceed $50.00 per year for materials, clinicians, maintenance of equipment, and possibly entry fees for district festivals.","Piano I is an introductory course open to all students 9-12. Focus of this course is beginning level piano skills, focusing on basic technique, basic music theory, music literacy, and performance etiquette. A course of study is determined by student conference with the teacher. Progress toward
established goals are the student’s responsibility. 
",,Performing Arts,
FA,Piano II,75559,1,Successful Completion of Piano I or Audition,Year,No,Yes,"10, 11, 12","Up to, but not to exceed $50.00 per year for materials, clinicians, maintenance of equipment, and possibly entry fees for district festivals.","Piano II is an intermediate level course open to students 10-12. Focus of this course is a continued development of piano skills, focusing on technique, music theory, music literacy, and performance etiquette. A course of study is determined by student conference with the teacher. Progress toward established goals is the student’s responsibility. ",,Performing Arts,
FA,Piano III,75560,1,Successful Completion of Piano II or Audition,Year,No,Yes,"11, 12","Up to, but not to exceed $50.00 per year for materials, clinicians, maintenance of equipment, and possibly entry fees for district festivals.","Piano III is an earl advanced level course open to students 11-12. Focus of this course is a continued development of piano skills, focusing on advanced technique, music theory, music literacy, and performance etiquette. Additionally, this course begins focusing students on standard Classical solo repertoire and performance practices of different musical periods. A course of study is determined by student conference with the teacher. Progress toward established goals is the student’s responsibility.",,Performing Arts,
FA,Piano IV,75561,1,Successful Completion of Piano III or Audition,Year,No,Yes,12,"Up to, but not to exceed $50.00 per year for materials, clinicians, maintenance of equipment, and possibly entry fees for district festivals","Piano IV is an advanced level course open to students in 12th grade. Focus of this course is on advanced standard Classical solo piano repertoire and performance practices of the different musical periods. Continued study of advanced technique, music theory, music literacy, and performance etiquette is also studied. Advanced players expand their current skills and further their experience with literature appropriate for their level. A course of study is determined by student conference with the teacher. Progress toward established goals is the student’s responsibility. Students have the opportunity to play for each other in the class as well as play duets, and/or accompany another musician’s student conference with the teacher. Progress toward established goals is the student’s responsibility. 
",,Performing Arts,
FA,Concert Choir I,74048,1,Audition and teacher approval,Year,No,Yes,9,"Up to, but not to exceed $100.00 per year for materials, accompanists, and costume expenses."," The student enrolled in Concert Choir I develops musicianship and specific performance skills through ensemble and solo singing. This course is offered to any male or female desiring the opportunity to sing and requires instructor approval and audition. Activities in this class are designed to give the singer basic experience in diverse styles of beginning choral literature. The difficulty and range of the music is tailored for novice singers. Instruction is designed so that the student is enabled to connect, examine, imagine, define, try, extend, refine, and integrate music study into other subject areas. Concert Choir provides instruction in basic vocal development, performing, listening, and analyzing music, in addition to focusing on the specific text being sung. He/She is encouraged to take private voice lessons to facilitate his/her vocal improvement. Public performances serve as a culmination of daily rehearsal and music goals. Literacy is integrated throughout the course.","As a co-curricular class the student is required to attend all rehearsals and performances which include afternoons, evenings, and weekends that support and extend learning in the classroom. Additionally, the student may be required to pay for some entry fees, out of town travel, and costume expenses.
",Performing Arts,
FA,Concert Choir II,7404A,1,Completion of Concert Choir I and Audition,Year,No,Yes,"10, 11, 12","Up to, but not to exceed $100.00 per year for materials, accompanists, and costume expenses.","The student enrolled in the Concert Choir II/III/IV develops musicianship and specific performance skills through ensemble and solo singing. This course is offered to any male or female desiring the opportunity to sing in an advanced choir. The student/singer experiences activities in this class designed to give diverse styles of choral literature. The student receives instruction that enables them to connect, examine, imagine, define, try, extend, refine, and integrate music study into other subject areas. Literacy is integrated throughout the course. Concert Choir provides instruction in vocal development, performing, conducting, listening and analyzing music, in addition to focusing on the specific text being sung. The student develops the ability to understand and convey the composer’s intent to the audience. The student performs publicly as a culmination of daily rehearsal and music goals and demonstrates mastery of basic choral techniques."," As a co-curricular class the student is required to attend all rehearsals and performances which include afternoons, evenings, and weekends that support and extend learning in the classroom. Additionally, the student may be required to pay for some entry fees, out of town travel, and costume expenses.
",Performing Arts,
FA,Concert Choir III,7404B,1,Completion of Concert Choir II and Audition,Year,No,Yes,"11, 12","Up to, but not to exceed $100.00 per year for materials, accompanists, and costume expenses.","The student enrolled in the Concert Choir II/III/IV develops musicianship and specific performance skills through ensemble and solo singing. This course is offered to any male or female desiring the opportunity to sing in an advanced choir. The student/singer experiences activities in this class designed to give diverse styles of choral literature. The student receives instruction that enables them to connect, examine, imagine, define, try, extend, refine, and integrate music study into other subject areas. Literacy is integrated throughout the course. Concert Choir provides instruction in vocal development, performing, conducting, listening and analyzing music, in addition to focusing on the specific text being sung. The student develops the ability to understand and convey the composer’s intent to the audience. The student performs publicly as a culmination of daily rehearsal and music goals and demonstrates mastery of basic choral techniques.","As a co-curricular class the student is required to attend all rehearsals and performances which include afternoons, evenings, and weekends that support and extend learning in the classroom. Additionally, the student may be required to pay for some entry fees, out of town travel, and costume expenses
",Performing Arts,
FA,Concert Choir IV,7404C,1,Completion of Concert Choir III and Audition,Year,No,Yes,12,"Up to, but not to exceed $100.00 per year for materials, accompanists, and costume expenses.","The student enrolled in the Concert Choir II/III/IV develops musicianship and specific performance skills through ensemble and solo singing. This course is offered to any male or female desiring the opportunity to sing in an advanced choir. The student/singer experiences activities in this class designed to give diverse styles of choral literature. The student receives instruction that enables them to connect, examine, imagine, define, try, extend, refine, and integrate music study into other subject areas. Literacy is integrated throughout the course. Concert Choir provides instruction in vocal development, performing, conducting, listening and analyzing music, in addition to focusing on the specific text being sung. The student develops the ability to understand and convey the composer’s intent to the audience. The student performs publicly as a culmination of daily rehearsal and music goals and demonstrates mastery of basic choral techniques.","As a co-curricular class the student is required to attend all rehearsals and performances which include afternoons, evenings, and weekends that support and extend learning in the classroom. Additionally, the student may be required to pay for some entry fees, out of town travel, and costume expenses",Performing Arts,
FA,Mixed Choir I,74051,1,,Year,No,Yes,"9, 10, 11, 12","Up to, but not to exceed $100.00 per year for materials, accompanists, and costume expenses.","This is a beginning chorus for first-time high school singers in which students learn good vocal techniques, begin sight reading, develop an ability to sing musically, and experience a wide variety of music literature and styles.",Out-of-school rehearsals and performances are a part of the instructional program and attendance is required. This course meets requirements for fine arts or practical arts credit.,Performing Arts,
FA,Mixed Choir II,74051C,1,,Year,No,Yes,"10, 11, 12","Up to, but not to exceed $100.00 per year for materials, accompanists, and costume expenses.","This is a beginning chorus for first-time high school singers in which students learn good vocal techniques, begin sight reading, develop an ability to sing musically, and experience a wide variety of music literature and styles.",Out-of-school rehearsals and performances are a part of the instructional program and attendance is required. This course meets requirements for fine arts or practical arts credit.,Performing Arts,
FA,Mixed Choir III,74051D,1,,Year,No,Yes,"11, 12,","Up to, but not to exceed $100.00 per year for materials, accompanists, and costume expenses.","This is a beginning chorus for first-time high school singers in which students learn good vocal techniques, begin sight reading, develop an ability to sing musically, and experience a wide variety of music literature and styles.",Out-of-school rehearsals and performances are a part of the instructional program and attendance is required. This course meets requirements for fine arts or practical arts credit.,Performing Arts,
FA,Mixed Choir IV,74051E,1,,Year,No,Yes,12,"Up to, but not to exceed $100.00 per year for materials, accompanists, and costume expenses.","This is a beginning chorus for first-time high school singers in which students learn good vocal techniques, begin sight reading, develop an ability to sing musically, and experience a wide variety of music literature and styles.",Out-of-school rehearsals and performances are a part of the instructional program and attendance is required. This course meets requirements for fine arts or practical arts credit.,Performing Arts,
